subject,stim,rt,choice,conf
0,LL,1210,1,HC
0,WL,1630,1,LC
0,WW,1030,1,HC
0,WL,2770,1,LC
0,WW,1140,0,HC
0,WL,1150,1,LC
0,LL,2000,1,HC
0,WL,1040,0,LC
0,WW,857,1,HC
0,WL,1500,0,LC
0,LL,1720,1,HC
0,WL,656,0,LC
0,WW,1720,1,HC
0,LL,1720,1,HC
0,WL,1360,1,LC
0,WL,1570,0,LC
0,LL,2440,0,HC
0,WL,2360,0,LC
0,WL,1380,1,LC
0,WL,1010,1,LC
0,LL,987,0,HC
0,WL,1010,0,LC
0,WW,2380,1,HC
0,WL,1510,0,LC
0,LL,1170,0,HC
0,WW,1880,0,HC
0,WL,1050,1,LC
0,WL,3250,0,LC
0,WL,1530,1,LC
0,WW,972,1,HC
0,LL,2840,0,HC
0,WL,1600,0,LC
0,WL,2740,1,LC
0,WW,2300,1,HC
0,LL,2350,1,HC
0,WL,1530,1,LC
0,WW,1700,1,HC
0,WL,661,1,LC
0,LL,1460,1,HC
0,WW,1960,1,HC
0,LL,2760,1,HC
0,WL,2170,1,LC
0,WL,782,1,LC
0,WL,3210,0,LC
0,WL,1910,1,LC
0,LL,2150,0,HC
0,WW,3150,0,HC
0,WL,1480,1,LC
0,WL,1350,1,LC
0,WW,1380,0,HC
0,LL,1380,0,HC
0,WL,1540,1,LC
0,LL,3170,1,HC
0,WW,946,1,HC
0,WL,2240,1,LC
0,LL,3830,0,HC
0,WL,2230,0,LC
0,WL,2500,0,LC
0,WW,1200,1,HC
0,WL,1650,1,LC
0,WL,1590,0,LC
0,WW,1200,1,HC
0,LL,1490,0,HC
0,WL,1940,0,LC
0,WW,1560,0,HC
0,WL,1830,0,LC
0,LL,886,1,HC
0,WL,714,0,LC
0,WW,1840,0,HC
0,WL,632,1,LC
0,LL,968,1,HC
0,WL,2280,0,LC
0,WL,1980,0,LC
0,LL,841,1,HC
0,WW,1960,0,HC
0,WL,1890,0,LC
0,WW,2350,0,HC
0,WL,2080,0,LC
0,LL,2870,0,HC
0,WW,3230,0,HC
0,LL,3660,0,HC
0,WL,907,0,LC
0,WL,2190,1,LC
0,WL,1410,0,LC
0,WL,1160,0,LC
0,WW,1980,0,HC
0,WL,947,0,LC
0,WL,1050,0,LC
0,LL,602,0,HC
0,WW,947,1,HC
0,LL,1250,0,HC
0,WL,1610,0,LC
0,WW,950,1,HC
0,WL,1920,0,LC
0,WW,2170,0,HC
0,LL,1980,0,HC
0,WL,1470,1,LC
0,WL,870,1,LC
0,WW,1100,0,HC
0,WL,746,1,LC
0,WL,1630,1,LC
0,LL,2200,1,HC
0,WL,3370,1,LC
0,WW,2720,0,HC
0,WW,1040,0,HC
0,LL,1930,0,HC
0,WL,1130,1,LC
0,WL,2030,0,LC
0,WW,1950,1,HC
0,LL,1500,1,HC
0,WL,1450,1,LC
0,WL,965,0,LC
0,WW,1870,0,HC
0,LL,1650,0,HC
0,WL,2780,1,LC
0,WL,994,0,LC
0,WL,1130,1,LC
0,LL,1560,1,HC
0,WL,1110,1,LC
0,WL,1660,0,LC
0,WL,1370,0,LC
0,LL,1150,1,HC
0,WW,3860,1,HC
0,WL,1650,0,LC
0,WL,2630,0,LC
0,LL,814,1,HC
0,LL,1080,1,HC
0,WL,2520,1,LC
0,WW,2030,1,HC
0,WL,833,1,LC
0,WL,3360,1,LC
0,LL,1590,0,HC
0,WW,1630,1,HC
0,WL,1240,0,LC
0,WL,2700,0,LC
0,WL,1730,1,LC
0,WL,2860,0,LC
0,WW,1950,0,HC
0,LL,2020,1,HC
0,LL,1360,1,HC
0,WW,2070,0,HC
0,WL,2190,0,LC
0,WL,1250,1,LC
0,WL,1600,0,LC
0,WW,1750,1,HC
0,WL,1360,1,LC
0,LL,1150,1,HC
0,WL,2200,0,LC
0,WW,1140,0,HC
0,LL,2340,1,HC
0,WL,2250,0,LC
0,LL,1230,1,HC
0,WW,1920,1,HC
0,WL,2020,1,LC
0,WW,2690,0,HC
0,WL,2660,0,LC
0,WL,2400,0,LC
0,LL,2380,1,HC
0,WL,3150,1,LC
0,WW,1310,0,HC
0,LL,2260,1,HC
0,WL,1840,1,LC
0,WL,1710,1,LC
0,WW,1820,1,HC
0,LL,1980,1,HC
0,WL,2030,1,LC
0,WW,1150,0,HC
0,LL,3520,0,HC
0,WL,1280,1,LC
0,WL,1380,0,LC
0,WL,1990,1,LC
0,WW,3290,0,HC
0,WL,1100,1,LC
0,LL,1740,1,HC
0,WL,1820,1,LC
0,WL,1150,0,LC
0,LL,1980,0,HC
0,WW,1680,0,HC
0,WL,1670,1,LC
0,WW,2240,1,HC
0,WL,1640,1,LC
0,LL,1500,1,HC
0,WL,1160,1,LC
0,WL,1260,1,LC
0,LL,2520,1,HC
0,WL,2310,1,LC
0,WW,982,1,HC
0,WW,2870,0,HC
0,LL,3820,1,HC
0,WL,1390,1,LC
0,WL,1550,1,LC
0,WL,940,1,LC
0,WL,1780,1,LC
0,LL,3510,1,HC
0,WW,2030,1,HC
0,WL,2750,1,LC
0,LL,1170,0,HC
0,WW,1060,1,HC
0,WL,3420,1,LC
0,WL,2630,0,LC
0,WW,940,1,HC
0,LL,3220,0,HC
0,WL,1160,1,LC
0,WL,2430,0,LC
0,WW,1100,1,HC
0,WW,2130,0,HC
0,LL,3020,0,HC
0,WL,987,1,LC
0,WL,928,0,LC
0,WW,3070,0,HC
0,LL,1710,0,HC
0,WL,1400,1,LC
0,WL,1800,1,LC
0,WW,1160,0,HC
0,LL,1020,0,HC
0,WL,1490,1,LC
0,WL,2080,1,LC
0,LL,1170,0,HC
0,WL,1660,1,LC
0,WL,1620,1,LC
0,WW,675,0,HC
0,WW,1530,0,HC
0,LL,1950,0,HC
0,WL,2110,1,LC
0,WL,1780,1,LC
0,WW,888,1,HC
0,LL,1840,1,HC
0,WL,847,1,LC
0,WL,1380,1,LC
0,WL,1470,1,LC
0,LL,1870,0,HC
0,WW,2560,1,HC
0,LL,2310,0,HC
0,WL,1700,0,LC
0,WL,1290,1,LC
0,WL,1720,1,LC
0,LL,1660,1,HC
0,WW,1240,0,HC
0,WL,804,0,LC
0,WL,3130,1,LC
0,WL,1340,0,LC
0,WW,1040,1,HC
0,LL,935,0,HC
0,WL,978,1,LC
0,WW,1240,1,HC
0,WL,704,0,LC
0,LL,1710,1,HC
0,WL,953,1,LC
0,WL,1240,0,LC
0,WW,1810,1,HC
0,LL,1490,0,HC
0,WL,2090,1,LC
0,WW,827,1,HC
0,WL,744,0,LC
0,LL,2030,0,HC
0,WW,1190,1,HC
0,WL,469,1,LC
0,WL,945,0,LC
0,WW,1030,1,HC
0,WL,773,0,LC
0,WL,1240,1,LC
0,LL,1080,1,HC
0,LL,1450,0,HC
0,WL,1430,1,LC
0,WW,2310,1,HC
0,WL,1180,1,LC
0,WW,1390,0,HC
0,WL,1330,0,LC
0,WL,1580,1,LC
0,WL,1590,1,LC
0,LL,848,0,HC
0,WL,910,1,LC
0,WW,1660,0,HC
0,WL,1460,1,LC
0,LL,2010,1,HC
0,WL,1750,1,LC
0,WW,2370,1,HC
0,LL,1810,0,HC
0,WL,1760,0,LC
0,WW,2830,1,HC
0,WL,2870,1,LC
0,LL,1200,1,HC
0,WW,2190,0,HC
0,WL,1260,1,LC
0,WL,1520,1,LC
0,WW,2100,0,HC
0,LL,1550,0,HC
0,LL,1920,0,HC
0,WL,1350,0,LC
0,WL,1770,1,LC
0,WW,796,1,HC
0,LL,1230,0,HC
0,WW,2600,1,HC
0,WL,1550,0,LC
0,WL,2130,1,LC
0,LL,1160,0,HC
0,WL,2000,0,LC
0,WW,1500,1,HC
1,WL,1510,1,LC
1,WL,670,1,LC
1,WW,2090,0,HC
1,LL,2120,1,HC
1,WL,722,1,LC
1,WL,931,1,LC
1,LL,2370,1,HC
1,WL,1360,1,LC
1,WL,1560,1,LC
1,LL,1190,1,HC
1,WW,1300,0,HC
1,WL,1690,1,LC
1,WW,925,1,HC
1,WL,1850,1,LC
1,LL,1490,1,HC
1,WL,757,1,LC
1,WW,1380,1,HC
1,LL,818,0,HC
1,WL,846,1,LC
1,WW,2220,1,HC
1,WL,2470,1,LC
1,LL,2050,0,HC
1,WL,1300,1,LC
1,WL,1490,1,LC
1,LL,2390,1,HC
1,WW,1340,1,HC
1,WW,804,1,HC
1,LL,3310,1,HC
1,WL,826,1,LC
1,WL,2740,1,LC
1,WW,611,0,HC
1,WL,641,1,LC
1,WL,676,1,LC
1,LL,3010,1,HC
1,LL,883,1,HC
1,WW,3110,0,HC
1,WL,1620,1,LC
1,WL,976,1,LC
1,WL,1360,1,LC
1,WW,2280,0,HC
1,LL,1400,1,HC
1,WL,1030,1,LC
1,WW,908,0,HC
1,LL,1250,1,HC
1,WL,709,0,LC
1,WL,661,1,LC
1,WL,992,1,LC
1,LL,1460,1,HC
1,WW,920,1,HC
1,WL,1690,0,LC
1,WL,901,1,LC
1,WW,1460,1,HC
1,WL,1690,1,LC
1,LL,1770,1,HC
1,LL,2150,1,HC
1,WW,656,1,HC
1,WL,865,1,LC
1,WL,1740,0,LC
1,WL,1520,1,LC
1,LL,2690,1,HC
1,WL,1420,1,LC
1,WL,2120,1,LC
1,WL,3030,1,LC
1,WW,2590,1,HC
1,LL,1120,1,HC
1,WL,1450,1,LC
1,WL,1150,1,LC
1,LL,1700,1,HC
1,WW,1320,1,HC
1,WL,1130,0,LC
1,LL,871,1,HC
1,WW,1640,1,HC
1,WL,1260,1,LC
1,LL,1110,1,HC
1,WL,810,1,LC
1,WL,1520,1,LC
1,WL,769,1,LC
1,WW,1410,1,HC
1,LL,2120,1,HC
1,WL,1040,1,LC
1,LL,867,1,HC
1,WW,1860,1,HC
1,WL,2800,1,LC
1,LL,1200,1,HC
1,WW,3210,0,HC
1,WL,953,1,LC
1,WL,1720,1,LC
1,WL,1220,1,LC
1,WL,1290,1,LC
1,LL,2150,1,HC
1,WW,633,0,HC
1,WW,1300,1,HC
1,WL,1420,1,LC
1,WL,975,1,LC
1,LL,2670,0,HC
1,WW,1840,1,HC
1,WL,1680,1,LC
1,LL,2340,1,HC
1,LL,1330,0,HC
1,WL,1920,1,LC
1,WL,1230,1,LC
1,WW,1280,1,HC
1,WL,3020,0,LC
1,WW,1500,1,HC
1,LL,1980,0,HC
1,WL,2060,1,LC
1,WL,657,1,LC
1,WL,1230,1,LC
1,LL,1500,0,HC
1,WL,1290,1,LC
1,WW,654,0,HC
1,WL,657,1,LC
1,LL,1180,0,HC
1,WW,626,0,HC
1,LL,1290,0,HC
1,WL,713,1,LC
1,WL,956,1,LC
1,WW,2030,0,HC
1,WL,2430,1,LC
1,LL,1160,0,HC
1,WL,2000,0,LC
1,LL,1080,1,HC
1,WL,2460,1,LC
1,WL,1380,1,LC
1,WW,1770,0,HC
1,WL,1350,1,LC
1,WW,1070,0,HC
1,LL,892,1,HC
1,WL,741,1,LC
1,LL,1230,1,HC
1,WL,1060,1,LC
1,WW,513,0,HC
1,WL,961,1,LC
1,WW,1610,0,HC
1,LL,739,1,HC
1,WL,2130,1,LC
1,WW,708,1,HC
1,WL,1300,0,LC
1,WL,1270,1,LC
1,LL,1430,0,HC
1,WL,1410,1,LC
1,WW,715,1,HC
1,WL,1490,1,LC
1,WL,505,1,LC
1,LL,1710,1,HC
1,WW,1440,1,HC
1,WL,898,1,LC
1,WL,921,1,LC
1,LL,1000,1,HC
1,WW,1150,1,HC
1,WL,1390,1,LC
1,WW,2210,0,HC
1,LL,2430,1,HC
1,WL,2410,1,LC
1,WL,1400,1,LC
1,WL,1210,1,LC
1,WL,1110,1,LC
1,WW,989,0,HC
1,WL,624,1,LC
1,LL,2070,1,HC
1,WL,1450,1,LC
1,WL,673,1,LC
1,WW,1880,0,HC
1,WL,1530,1,LC
1,WW,830,0,HC
1,LL,1370,1,HC
1,WL,1140,1,LC
1,WL,1090,1,LC
1,WL,2130,0,LC
1,WL,1070,1,LC
1,WW,1020,1,HC
1,LL,1040,1,HC
1,WW,1730,1,HC
1,WL,1360,1,LC
1,LL,1650,0,HC
1,WW,1050,1,HC
1,WL,1230,1,LC
1,WL,1850,1,LC
1,LL,856,0,HC
1,WL,796,1,LC
1,WW,749,1,HC
1,WL,893,1,LC
1,WW,652,1,HC
1,WL,1440,1,LC
1,WL,1460,1,LC
1,WL,2370,1,LC
1,LL,1540,0,HC
1,WW,897,1,HC
1,WL,538,1,LC
1,WL,1500,0,LC
1,WW,1430,1,HC
1,LL,1660,1,HC
1,WL,1050,1,LC
1,LL,1610,1,HC
1,WL,700,1,LC
1,WW,3290,1,HC
1,WL,1080,1,LC
1,WL,731,1,LC
1,WL,866,1,LC
1,LL,2520,0,HC
1,WL,1080,1,LC
1,WL,598,1,LC
1,LL,1280,1,HC
1,WW,701,1,HC
1,LL,2180,0,HC
1,WL,2320,0,LC
1,WW,662,1,HC
1,WL,967,1,LC
1,WL,1470,1,LC
1,LL,775,0,HC
1,WW,1610,1,HC
1,WL,1410,1,LC
1,WL,998,1,LC
1,LL,1790,0,HC
1,WW,1010,1,HC
1,WL,1160,1,LC
1,WL,670,1,LC
1,LL,1470,0,HC
1,WW,1620,1,HC
1,WL,575,1,LC
1,WL,604,1,LC
1,LL,985,0,HC
1,WW,1270,1,HC
1,WL,648,1,LC
1,WL,819,0,LC
1,LL,1720,1,HC
1,WL,1210,1,LC
1,WL,2160,0,LC
1,WW,845,1,HC
1,LL,716,1,HC
1,WL,2140,1,LC
1,WL,1390,0,LC
1,LL,1000,1,HC
1,WW,2890,1,HC
1,WL,2120,0,LC
1,LL,718,1,HC
1,WL,1530,1,LC
1,LL,982,0,HC
1,WL,512,1,LC
1,WW,601,1,HC
1,WL,958,1,LC
1,WW,3210,1,HC
1,LL,1410,0,HC
1,WL,3110,1,LC
1,LL,1120,1,HC
1,WL,3250,0,LC
1,WW,1280,1,HC
1,WL,627,1,LC
1,WL,803,1,LC
1,WL,1860,0,LC
1,WW,1240,1,HC
1,LL,2010,0,HC
1,WL,559,1,LC
1,WW,1730,1,HC
1,LL,2290,1,HC
1,WL,2430,1,LC
1,WL,1170,1,LC
1,LL,1790,1,HC
1,WW,934,1,HC
1,WL,1140,1,LC
1,WW,745,1,HC
1,WL,982,1,LC
1,LL,1510,1,HC
1,WL,804,1,LC
1,LL,1010,1,HC
1,WL,1190,1,LC
1,WW,2200,1,HC
1,WL,1070,1,LC
1,WW,1060,0,HC
1,LL,1530,1,HC
1,WL,656,1,LC
1,WL,546,1,LC
1,WW,516,1,HC
1,WL,870,1,LC
1,WL,596,1,LC
1,LL,949,1,HC
1,WW,498,1,HC
1,WL,1270,1,LC
1,LL,1150,1,HC
1,WL,964,1,LC
1,WW,873,1,HC
1,WL,814,1,LC
1,WL,708,1,LC
1,LL,1170,1,HC
1,WW,767,0,HC
1,WL,1440,1,LC
1,WL,1040,1,LC
1,WL,1200,1,LC
1,LL,1640,1,HC
1,WL,784,1,LC
1,WW,945,1,HC
1,WL,1320,1,LC
1,WW,1180,0,HC
1,WL,964,0,LC
1,LL,2580,0,HC
1,WL,1260,1,LC
1,WL,1100,1,LC
1,LL,1880,0,HC
2,WL,904,1,LC
2,LL,756,0,HC
2,WL,769,0,LC
2,WW,661,0,HC
2,WL,1380,0,LC
2,LL,1140,1,HC
2,WL,926,1,LC
2,WW,1160,0,HC
2,WL,756,1,LC
2,WL,1630,0,LC
2,WW,668,0,HC
2,LL,856,1,HC
2,WL,626,1,LC
2,WW,573,0,HC
2,WL,457,1,LC
2,LL,642,0,HC
2,LL,1950,1,HC
2,WW,754,0,HC
2,WL,751,1,LC
2,WL,1100,1,LC
2,LL,1240,0,HC
2,WL,843,1,LC
2,WL,613,1,LC
2,WW,476,0,HC
2,WL,903,1,LC
2,WL,941,1,LC
2,LL,1480,0,HC
2,WW,866,0,HC
2,LL,1010,1,HC
2,WL,554,1,LC
2,WW,931,0,HC
2,WL,557,1,LC
2,WL,1000,1,LC
2,WL,735,1,LC
2,WW,650,0,HC
2,LL,1410,0,HC
2,WW,1120,1,HC
2,WL,595,1,LC
2,WL,900,1,LC
2,LL,1220,1,HC
2,LL,842,1,HC
2,WL,861,1,LC
2,WL,877,1,LC
2,WW,876,1,HC
2,WL,647,1,LC
2,WW,423,1,HC
2,LL,1240,1,HC
2,WL,977,1,LC
2,WL,1490,1,LC
2,LL,1640,0,HC
2,WW,1180,1,HC
2,LL,840,0,HC
2,WW,1070,1,HC
2,WL,1940,0,LC
2,WW,629,1,HC
2,WL,587,1,LC
2,LL,906,0,HC
2,WL,662,0,LC
2,WL,583,0,LC
2,WW,761,1,HC
2,LL,929,0,HC
2,WL,949,1,LC
2,WW,1230,1,HC
2,WL,1720,0,LC
2,WL,1280,1,LC
2,LL,1250,1,HC
2,LL,1030,0,HC
2,WW,790,1,HC
2,WL,1070,1,LC
2,WL,894,1,LC
2,WW,1210,1,HC
2,WL,877,1,LC
2,WL,726,1,LC
2,LL,1120,1,HC
2,LL,760,1,HC
2,WW,869,1,HC
2,WL,2040,0,LC
2,WL,913,1,LC
2,WL,987,0,LC
2,WW,1570,1,HC
2,LL,1200,0,HC
2,WL,776,1,LC
2,WL,1270,0,LC
2,LL,618,0,HC
2,WW,1300,1,HC
2,WL,837,0,LC
2,WL,1770,1,LC
2,WW,750,1,HC
2,LL,1320,0,HC
2,WL,793,0,LC
2,WL,946,1,LC
2,WW,952,1,HC
2,LL,1060,0,HC
2,WL,919,0,LC
2,WW,913,1,HC
2,LL,915,1,HC
2,WL,1370,1,LC
2,WL,1190,1,LC
2,WL,634,0,LC
2,WL,736,1,LC
2,LL,1220,1,HC
2,WW,630,0,HC
2,WL,1240,1,LC
2,WW,1470,1,HC
2,WL,1010,0,LC
2,LL,655,1,HC
2,WL,1260,1,LC
2,LL,966,1,HC
2,WW,629,1,HC
2,WL,1200,1,LC
2,WL,1040,1,LC
2,WL,949,1,LC
2,WW,651,1,HC
2,LL,1910,1,HC
2,WL,1180,1,LC
2,LL,1790,0,HC
2,WW,666,1,HC
2,WL,446,1,LC
2,WL,623,1,LC
2,WW,666,1,HC
2,WL,1270,1,LC
2,LL,1730,1,HC
2,WW,565,1,HC
2,LL,574,1,HC
2,WL,627,1,LC
2,WL,819,1,LC
2,LL,1650,0,HC
2,WL,1070,1,LC
2,WL,1220,1,LC
2,WW,1110,1,HC
2,WL,823,1,LC
2,WL,726,1,LC
2,LL,1700,1,HC
2,WW,1180,1,HC
2,WL,686,1,LC
2,LL,1870,0,HC
2,WL,762,1,LC
2,WL,1690,1,LC
2,WL,725,1,LC
2,WW,877,0,HC
2,WL,930,1,LC
2,LL,1610,1,HC
2,LL,1330,0,HC
2,WW,952,0,HC
2,WL,1280,1,LC
2,WL,1040,1,LC
2,WL,936,1,LC
2,WL,672,1,LC
2,WW,735,1,HC
2,LL,1160,1,HC
2,WL,1140,1,LC
2,WW,636,1,HC
2,WL,922,1,LC
2,LL,707,1,HC
2,WL,1220,0,LC
2,WL,2050,1,LC
2,WW,809,1,HC
2,LL,1020,1,HC
2,LL,1160,1,HC
2,WL,1790,1,LC
2,WL,1090,1,LC
2,WW,701,1,HC
2,LL,1700,1,HC
2,WL,771,0,LC
2,WL,884,1,LC
2,WW,993,1,HC
2,WW,835,1,HC
2,WL,843,1,LC
2,WL,768,1,LC
2,LL,1140,1,HC
2,WW,1320,0,HC
2,LL,1520,0,HC
2,WL,1560,0,LC
2,WL,915,1,LC
2,WL,998,1,LC
2,WL,879,1,LC
2,LL,1750,0,HC
2,WW,1220,0,HC
2,WL,1070,1,LC
2,WL,909,1,LC
2,WW,885,0,HC
2,LL,1280,1,HC
2,WL,1030,1,LC
2,WW,1510,1,HC
2,WL,934,1,LC
2,WW,970,1,HC
2,LL,2270,0,HC
2,WL,1480,1,LC
2,WW,1340,1,HC
2,WL,808,1,LC
2,WL,1730,1,LC
2,LL,975,0,HC
2,LL,1030,0,HC
2,WL,1370,1,LC
2,WW,1330,1,HC
2,WL,714,1,LC
2,WL,1020,1,LC
2,LL,1040,0,HC
2,WW,734,1,HC
2,WL,1070,1,LC
2,WL,800,1,LC
2,WW,610,0,HC
2,WL,850,1,LC
2,WL,875,1,LC
2,WW,1050,0,HC
2,LL,1200,1,HC
2,LL,2110,1,HC
2,WW,1180,0,HC
2,WL,772,1,LC
2,WL,806,1,LC
2,WL,709,1,LC
2,WW,1140,0,HC
2,WL,707,1,LC
2,LL,1380,0,HC
2,WL,761,1,LC
2,WL,786,1,LC
2,LL,1630,1,HC
2,WW,1130,0,HC
2,WL,894,1,LC
2,WW,721,1,HC
2,WL,617,1,LC
2,LL,1270,1,HC
2,WW,1330,1,HC
2,WL,833,1,LC
2,WL,795,1,LC
2,LL,835,1,HC
2,WL,743,1,LC
2,LL,1730,1,HC
2,WW,1010,1,HC
2,WL,814,1,LC
2,LL,1670,1,HC
2,WL,1300,1,LC
2,WL,1870,0,LC
2,WW,1010,1,HC
2,LL,1240,1,HC
2,WW,866,0,HC
2,WL,1100,1,LC
2,WL,1010,0,LC
2,WL,811,1,LC
2,WL,960,1,LC
2,WW,923,0,HC
2,LL,1170,1,HC
2,WL,945,1,LC
2,LL,957,1,HC
2,WL,1730,1,LC
2,WW,968,1,HC
2,WW,826,1,HC
2,WL,969,1,LC
2,LL,1260,1,HC
2,WL,723,1,LC
2,LL,1220,1,HC
2,WL,1020,1,LC
2,WL,937,1,LC
2,WW,618,1,HC
2,WL,790,1,LC
2,LL,1600,1,HC
2,WW,805,1,HC
2,WL,598,1,LC
2,WL,1240,1,LC
2,LL,788,1,HC
2,WL,552,0,LC
2,WW,1250,0,HC
2,LL,1720,0,HC
2,WL,1100,0,LC
2,WL,1130,0,LC
2,WL,986,0,LC
2,WL,1080,1,LC
2,LL,1180,1,HC
2,WW,1150,0,HC
2,LL,1130,0,HC
2,WW,1460,1,HC
2,WL,817,0,LC
2,WL,739,1,LC
2,LL,1110,0,HC
2,WL,1000,1,LC
2,WW,635,0,HC
2,WL,1420,0,LC
2,WL,1500,1,LC
2,WW,1520,1,HC
2,LL,1280,0,HC
2,WL,1850,0,LC
2,WL,1150,1,LC
2,LL,1120,0,HC
2,WL,1200,0,LC
2,WW,1100,0,HC
2,WW,587,0,HC
2,WL,924,1,LC
2,WL,699,1,LC
2,LL,938,0,HC
2,WL,970,0,LC
2,WL,853,1,LC
2,LL,1480,0,HC
2,WW,916,0,HC
3,LL,2200,0,HC
3,WL,1670,1,LC
3,WW,1640,0,HC
3,WL,2960,0,LC
3,WL,1350,1,LC
3,LL,1080,1,HC
3,WW,2020,0,HC
3,WL,3240,0,LC
3,WL,2580,0,LC
3,WW,2090,0,HC
3,WL,2330,1,LC
3,WW,2690,1,HC
3,LL,1760,1,HC
3,WL,2420,1,LC
3,WL,3170,1,LC
3,WW,2510,1,HC
3,LL,3110,1,HC
3,WL,2420,1,LC
3,WW,2790,0,HC
3,WL,963,0,LC
3,WW,2070,1,HC
3,LL,2030,0,HC
3,WL,2200,1,LC
3,WL,3530,0,LC
3,LL,2390,0,HC
3,WW,725,1,HC
3,WL,1700,0,LC
3,WL,1510,1,LC
3,LL,2810,0,HC
3,WW,1170,1,HC
3,WL,1360,1,LC
3,WL,1160,1,LC
3,LL,2190,0,HC
3,WL,1140,1,LC
3,WW,1570,0,HC
3,WW,1820,1,HC
3,WL,1580,1,LC
3,LL,1750,1,HC
3,WL,878,1,LC
3,WL,1380,1,LC
3,LL,1890,0,HC
3,LL,933,1,HC
3,WL,1060,1,LC
3,WW,1360,0,HC
3,WW,1080,0,HC
3,LL,875,0,HC
3,WL,968,0,LC
3,WL,1360,1,LC
3,WL,1000,0,LC
3,WW,2170,1,HC
3,LL,1110,0,HC
3,WL,2230,1,LC
3,WW,2370,0,HC
3,LL,2490,1,HC
3,WL,1170,0,LC
3,WL,1520,1,LC
3,LL,1700,1,HC
3,WL,752,1,LC
3,WW,1280,0,HC
3,LL,1140,0,HC
3,WL,1210,1,LC
3,WW,1030,1,HC
3,WL,700,1,LC
3,WW,632,0,HC
3,WL,1450,1,LC
3,WL,1320,1,LC
3,LL,1390,1,HC
3,WL,953,1,LC
3,WW,989,0,HC
3,LL,1670,1,HC
3,WL,775,1,LC
3,WL,1320,1,LC
3,WL,1430,1,LC
3,LL,2050,1,HC
3,WL,1730,0,LC
3,WW,656,1,HC
3,WL,858,1,LC
3,LL,2740,1,HC
3,WL,792,1,LC
3,LL,1620,1,HC
3,WL,2070,1,LC
3,WW,1200,1,HC
3,WL,1620,0,LC
3,WW,998,0,HC
3,WL,786,1,LC
3,LL,816,1,HC
3,WW,1870,1,HC
3,LL,1000,0,HC
3,WL,1560,0,LC
3,WL,583,0,LC
3,WW,1110,1,HC
3,LL,1170,0,HC
3,WL,1330,1,LC
3,WL,859,0,LC
3,WL,1320,1,LC
3,WW,1110,0,HC
3,WL,1700,1,LC
3,WL,1110,0,LC
3,WW,894,1,HC
3,LL,935,0,HC
3,WL,568,0,LC
3,WL,818,1,LC
3,LL,876,0,HC
3,WL,793,0,LC
3,WW,1340,1,HC
3,WL,763,1,LC
3,WL,1750,1,LC
3,LL,1250,1,HC
3,WL,931,1,LC
3,LL,864,0,HC
3,WL,1160,1,LC
3,WW,1280,1,HC
3,WL,992,1,LC
3,WW,1200,0,HC
3,LL,944,0,HC
3,WL,992,1,LC
3,LL,1210,1,HC
3,WW,2800,0,HC
3,WL,1550,0,LC
3,WL,998,1,LC
3,LL,1700,0,HC
3,WL,2870,0,LC
3,WL,1460,1,LC
3,WL,2230,1,LC
3,WW,2310,0,HC
